Symbol;Interval;S.Pos;LOT(s);Open Time;Open Price;Close Time;Close Price;PIP P/L;Tot. $ P/L;Harvester ID;OpenDeals#;Closed by
EURJPY;34;Long;34;2013.10.17 01:42;133.7800;2013.10.22 10:46;134.4800;70;2420.4600;58(163) TR;1;Close all Deals(2) - Global
EURJPY;21;Long;21;2013.10.17 03:00;133.8400;2013.10.22 10:46;134.4800;64;1366.8480;63(118) TR;6;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.18 20:00;133.9700;2013.10.22 10:46;134.4800;51;518.6700;61(36);4;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.22 05:00;134.3300;2013.10.22 10:46;134.4800;15;152.5500;60(52);3;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.15 02:05;133.7800;2013.10.22 10:46;134.4800;70;711.9000;58(163);1;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.15 16:15;132.8400;2013.10.22 10:46;134.4800;-164;-1667.8800;63(118);6;Close all Deals(2) - Global
EURJPY;21;Short;21;2013.10.15 23:44;132.7800;2013.10.22 10:46;134.4800;-170;-3630.6900;58(163) TR;1;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.22 01:30;134.3300;2013.10.22 10:46;134.4600;13;132.2100;59(84);2;Close all Deals(2)
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.21 18:01;134.2100;2013.10.22 02:30;134.2300;2;20.3600;60(51);3;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.21 12:45;134.1500;2013.10.22 00:34;134.2800;13;132.3400;59(83);2;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.18 09:00;133.9700;2013.10.21 17:00;134.1200;15;152.7000;60(50);3;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.18 01:15;133.9600;2013.10.21 10:45;134.0800;12;122.2800;59(82);2;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.17 15:00;133.5500;2013.10.18 13:00;133.7000;15;153.4500;61(35);4;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.17 13:30;133.5700;2013.10.18 07:00;133.9500;38;387.6000;60(49);3;Close All Deals command
